Rk,Player,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
148,Tyler O'Neill,29,BOS,113,473,411,74,99,18,0,31,61,4,0,53,159
149,Jeff McNeil*,32,NYM,129,472,424,57,101,26,0,12,44,5,1,35,68
150,Michael Harris II*,23,ATL,110,470,440,58,116,14,3,16,48,10,6,23,94
151,Ha-Seong Kim,28,SDP,121,470,403,60,94,16,3,11,47,22,5,58,77
152,Jorge Polanco#,30,SEA,118,469,417,43,89,11,0,16,45,4,2,46,137
153,Austin Riley,27,ATL,110,469,425,63,109,26,2,19,56,0,0,37,118
154,Ryan Jeffers,27,MIN,122,465,412,56,93,22,0,21,64,3,0,32,94
155,Xander Bogaerts,31,SDP,111,463,428,50,113,15,1,11,44,13,3,28,79
156,Jeimer Candelario#,30,CIN,112,463,427,47,96,23,2,20,56,4,3,27,114
157,Mark Canha,35,2TM,125,462,393,46,95,20,0,7,42,7,0,51,96
157,Mark Canha,35,DET,93,377,320,42,74,17,0,7,38,4,0,42,79
157,Mark Canha,35,SFG,32,85,73,4,21,3,0,0,4,3,0,9,17
158,Gio Urshela,32,2TM,128,461,432,34,108,19,1,9,52,0,0,23,72
158,Gio Urshela,32,DET,92,325,300,25,73,10,1,5,37,0,0,19,49
158,Gio Urshela,32,ATL,36,136,132,9,35,9,0,4,15,0,0,4,23
159,Max Schuemann,27,OAK,133,459,396,55,87,14,0,7,34,14,1,47,119
160,Giancarlo Stanton,34,NYY,114,459,417,49,97,20,0,27,72,0,0,38,143
161,Michael Toglia#,25,COL,116,458,399,62,87,14,3,25,55,10,1,54,147
162,Luke Raley*,29,SEA,137,455,404,58,98,19,2,22,58,11,2,27,135
163,Davis Schneider,25,TOR,135,454,397,48,76,19,1,13,46,6,0,47,144
164,Mark Vientos,24,NYM,111,454,413,58,110,22,0,27,71,0,0,33,135
165,Ernie Clement,28,TOR,139,452,434,48,114,21,3,12,51,12,3,11,41
166,Jo Adell,25,LAA,130,451,405,54,84,15,2,20,62,15,10,35,126
167,Lawrence Butler*,23,OAK,125,451,412,63,108,24,2,22,57,18,0,35,108
168,J.P. Crawford*,29,SEA,105,451,392,55,79,16,2,9,37,5,0,52,102
169,MJ Melendez*,25,KCR,135,451,412,44,85,23,3,17,44,4,4,35,113
170,Jarred Kelenic*,24,ATL,131,449,412,49,95,18,2,15,45,7,2,32,133
171,Joc Pederson*,32,ARI,132,449,367,62,101,17,1,23,64,7,4,55,105
172,Patrick Bailey#,25,SFG,121,448,401,46,94,16,1,8,46,4,0,39,100
173,Jose Siri,28,TBR,130,448,402,50,75,16,1,18,47,14,7,31,170
174,Wilyer Abreu*,25,BOS,132,447,399,59,101,33,2,15,58,8,3,40,125
175,Jordan Westburg,25,BAL,107,447,416,57,110,26,5,18,63,6,3,22,97
176,Jared Triolo,26,PIT,125,446,394,41,85,10,1,9,46,8,1,42,118
177,Nicky Lopez*,29,CHW,124,445,398,40,96,12,3,1,21,5,7,37,67
178,Andy Pages,23,LAD,116,443,403,65,100,23,1,13,46,1,2,29,108
179,Brayan Rocchio#,23,CLE,143,442,383,50,79,18,0,8,36,10,6,44,90
180,Dylan Moore,31,SEA,135,441,368,53,74,23,4,10,42,32,6,53,123
181,Fernando Tatis Jr.,25,SDP,102,438,398,64,110,21,1,21,49,11,3,32,96
182,Harrison Bader,30,NYM,143,437,402,57,95,19,0,12,51,17,8,21,95
183,Ozzie Albies#,27,ATL,99,435,399,52,100,29,1,10,53,8,1,27,65
184,Otto López,25,MIA,117,434,403,49,109,23,1,6,39,20,4,25,75
185,Blake Perkins#,27,MIL,121,434,383,54,92,13,2,6,43,23,5,42,108
186,Mitch Garver,33,SEA,114,430,367,37,63,17,0,15,51,0,0,53,133
187,José Miranda,26,MIN,121,429,401,44,114,28,4,9,49,2,2,18,66
188,Mauricio Dubón,29,HOU,137,428,402,45,108,25,0,4,47,3,2,16,55
189,Kyle Isbel*,27,KCR,136,426,384,62,88,13,8,8,42,11,2,27,88
190,Brandon Lowe*,29,TBR,107,425,385,56,94,19,3,21,58,5,1,33,112
191,Wenceel Pérez#,24,DET,112,425,389,51,94,16,6,9,37,9,5,32,92
192,Luis Robert Jr.,26,CHW,100,425,393,47,88,19,0,14,35,23,6,28,141
193,Hunter Renfroe,32,KCR,120,424,385,44,88,18,0,15,52,1,1,36,84
194,Mitch Haniger,33,SEA,121,423,380,42,79,12,0,12,44,0,0,40,126
195,Rowdy Tellez*,29,PIT,131,421,383,38,93,18,0,13,56,1,0,31,89
196,Masataka Yoshida*,30,BOS,108,421,378,45,106,21,0,10,56,2,0,27,52
197,Mickey Moniak*,26,LAA,124,418,392,48,86,17,2,14,49,8,4,21,114
198,Connor Joe,31,PIT,123,416,364,49,83,22,1,9,36,2,2,44,91
199,Austin Wells*,24,NYY,115,414,354,42,81,18,1,13,55,1,2,47,87
200,J.T. Realmuto,33,PHI,99,413,380,50,101,18,1,14,47,2,2,27,102
201,Pete Crow-Armstrong*,22,CHC,123,410,372,46,88,13,6,10,47,27,3,21,98
202,Lars Nootbaar*,26,STL,109,405,348,39,85,18,3,12,45,7,3,52,79
203,Jon Singleton*,32,HOU,119,405,355,46,83,13,1,13,42,0,0,47,111
204,Nolan Gorman*,24,STL,107,402,365,42,74,15,0,19,50,6,1,34,151
205,LaMonte Wade Jr.*,30,SFG,117,401,331,45,86,16,0,8,34,2,1,62,90
206,Seth Brown*,31,OAK,124,400,372,32,86,11,1,14,44,4,2,25,112
207,Trevor Larnach*,27,MIN,112,400,355,59,92,17,0,15,52,4,1,40,89
208,Max Kepler*,31,MIN,105,399,368,43,93,21,1,8,42,1,0,22,80
209,Ke'Bryan Hayes,27,PIT,96,396,365,38,85,9,0,4,25,11,2,23,75
210,Korey Lee,25,CHW,125,394,377,36,79,14,1,12,37,6,3,17,122
211,Kiké Hernández,32,LAD,126,393,362,44,83,16,0,12,42,0,0,27,77
212,David Fry,28,CLE,122,392,335,44,88,18,1,14,51,4,1,42,84
213,Santiago Espinal,29,CIN,118,391,357,32,88,12,0,9,45,11,1,24,54
214,Bo Naylor*,24,CLE,123,389,354,39,71,10,2,13,39,6,3,29,122
215,Will Benson*,26,CIN,128,388,343,41,64,19,2,14,43,16,7,40,154
216,Byron Buxton,30,MIN,102,388,355,62,99,27,3,18,56,7,2,20,99
217,Geraldo Perdomo#,24,ARI,98,388,337,61,92,21,2,3,37,9,1,36,58
218,Nick Gonzales,25,PIT,94,387,359,42,97,19,3,7,49,5,3,18,74
219,Josh Lowe*,26,TBR,106,387,353,37,85,19,2,10,34,25,1,32,123
220,Alejandro Kirk,25,TOR,103,386,340,23,86,19,1,5,54,0,0,35,51
221,Tyler Freeman,25,CLE,118,383,330,48,69,14,1,7,32,11,6,28,53
222,Jake Fraley*,29,CIN,116,382,350,44,97,19,2,5,26,20,5,26,70
