"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Smith, Cam",701358,"HOU","FF","4-Seam Fastball",-0.3,-1,"248",26.3,"58","0.271","0.396","0.359",25.4,22.4,15.5,"0.32","0.56","0.43",40
"Castellanos, Nick",592206,"PHI","SL","Slider",-1.9,-5,"249",22,"58","0.179","0.304","0.211",33.3,22.4,17.8,"0.22","0.344","0.245",29.5
"Murphy, Sean",669221,"ATL","FF","4-Seam Fastball",-0.2,0,"195",28.1,"58","0.224","0.449","0.336",19.6,25.9,20.8,"0.242","0.472","0.36",48.6
"Suzuki, Seiya",673548,"CHC","SI","Sinker",1,2,"195",14.9,"58","0.321","0.623","0.455",13.3,19,23.9,"0.338","0.67","0.448",54.8
"Soler, Jorge",624585,"LAA","SI","Sinker",0.7,1,"218",20.2,"58","0.2","0.378","0.366",15.9,20.7,30.8,"0.246","0.392","0.369",47.1
"Goldschmidt, Paul",502671,"NYY","SI","Sinker",0,0,"192",16.6,"58","0.296","0.481","0.362",17.4,15.5,22.5,"0.267","0.458","0.325",41.3
"Ward, Taylor",621493,"LAA","SL","Slider",-0.4,-1,"250",19.3,"58","0.13","0.315","0.239",35.1,32.8,25,"0.162","0.341","0.237",33.3
"Swanson, Dansby",621020,"CHC","SI","Sinker",0.9,2,"195",15.7,"58","0.302","0.509","0.409",18.1,15.5,31,"0.327","0.572","0.408",40.9
"Dingler, Dillon",693307,"DET","FF","4-Seam Fastball",-0.8,-2,"226",28.7,"58","0.241","0.333","0.281",25.2,34.5,26.3,"0.257","0.495","0.342",58.8
"Schanuel, Nolan",694384,"LAA","SI","Sinker",0.2,1,"207",17.2,"57","0.26","0.42","0.399",9.5,14,15.7,"0.25","0.411","0.327",27.9
"Neto, Zach",687263,"LAA","FF","4-Seam Fastball",0.5,1,"188",19.3,"57","0.255","0.627","0.388",20.8,24.6,20.3,"0.298","0.747","0.461",60.5
"Robert Jr., Luis",673357,"CWS","FF","4-Seam Fastball",0.1,0,"237",24.2,"57","0.24","0.42","0.324",28,33.3,23.5,"0.224","0.463","0.314",45.5
"Wood, James",695578,"WSH","SI","Sinker",-1.2,-3,"229",16,"57","0.255","0.431","0.336",22,26.3,26.3,"0.238","0.426","0.324",52.8
"Norby, Connor",681393,"MIA","FF","4-Seam Fastball",-1.2,-3,"209",28.2,"57","0.208","0.34","0.298",27.6,28.1,24.6,"0.255","0.466","0.333",40.5
"Báez, Javier",595879,"DET","FF","4-Seam Fastball",0.5,1,"242",29.6,"57","0.281","0.386","0.291",26.1,24.6,20.6,"0.309","0.544","0.361",60.5
"Suárez, Eugenio",553993,"AZ","SL","Slider",1.5,3,"217",17.6,"57","0.226","0.528","0.34",45.5,35.1,27.8,"0.202","0.399","0.284",30.3
"Altuve, Jose",514888,"HOU","SI","Sinker",0.8,2,"248",23,"57","0.327","0.551","0.409",7,7,9.8,"0.285","0.452","0.363",39.1
"Carroll, Corbin",682998,"AZ","SL","Slider",-1.3,-3,"222",17.6,"57","0.16","0.28","0.26",29.7,24.6,21.5,"0.239","0.455","0.346",44.4
"Bleday, JJ",668709,"ATH","FF","4-Seam Fastball",1.3,3,"222",26.9,"57","0.306","0.571","0.405",6.6,17.5,19.2,"0.231","0.406","0.327",50
"Allen, Nick",669397,"ATL","SI","Sinker",-1.5,-3,"196",23.9,"56","0.265","0.327","0.308",10.3,16.1,25.7,"0.286","0.359","0.324",39
"Semien, Marcus",543760,"TEX","SI","Sinker",0.9,2,"220",18.3,"56","0.286","0.469","0.387",11.5,10.7,12,"0.304","0.517","0.392",48.8
