"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Adell, Jo","666176","219","14",36.1,"113.3","91.5","104.2","96.4","87.4","445","183","412","110",50.5,"37",16.9,11.2
"Buxton, Byron","621439","219","17.8",32.4,"112.5","92.1","103.3","96.8","87.6","479","187","410","120",55.6,"34",15.5,10.1
"Durbin, Caleb","702332","218","14",26.6,"108.9","84.3","95.5","88.4","83.1","395","149","386","53",24.8,"7",3.2,2.5
"Yastrzemski, Mike","573262","217","18.1",33.2,"108.5","90.7","99.8","94","86.8","409","175","369","92",42.4,"17",7.8,5
"Martínez, Angel","682657","216","17.7",33.8,"107.4","87.4","96.8","90","86","394","166","372","60",27.9,"8",3.7,2.8
"Kepler, Max","596146","214","16.9",31.3,"109.4","90.8","100.5","93.6","89.5","422","187","384","95",44.6,"24",11.2,7.6
"Stowers, Kyle","669065","214","14.2",38.8,"113.7","91.6","103.8","96.1","87.1","440","187","398","114",53.5,"42",19.6,12
"McMahon, Ryan","641857","212","15.3",34.4,"112","93.4","102.8","95.3","90.7","467","178","418","101",48.1,"25",11.8,6.6
"Báez, Javier","595879","210","10",31.4,"110","88.2","99.7","91.3","86.6","421","157","392","86",41.3,"14",6.7,4.9
"Sánchez, Jesús","660821","209","10.7",29.7,"114.8","92","103","96.3","89.3","431","158","411","94",45,"25",12,8.4
"Langford, Wyatt","694671","209","16.9",31.1,"113.1","90.9","102.4","95.8","86.3","437","170","392","99",47.4,"26",12.4,7.8
"Marte, Ketel","606466","208","14.5",32.7,"115.5","91","102.6","95.4","88.5","449","171","405","96",46.2,"33",15.9,11.1
"Smith, Cam","701358","206","7.4",34.5,"113.9","89","101.6","92.5","86.5","431","151","395","90",44.3,"15",7.3,4.6
"Rice, Ben","700250","206","14.1",36.4,"113.2","93.3","104.7","97.9","89.2","427","179","395","112",54.9,"32",15.5,10.5
"Benintendi, Andrew","643217","206","21.8",36.4,"108.5","88.5","98.1","93.8","80.8","425","191","388","73",35.6,"26",12.6,9.5
"Mullins, Cedric","656775","206","23.2",33.5,"108.4","89","99.2","93","86","396","184","384","75",36.8,"13",6.3,4.1
"Jung, Josh","673962","206","12",41.3,"111.2","87.6","100.3","94","82.1","418","166","384","87",42.2,"17",8.3,5.7
"Carpenter, Kerry","681481","206","21.9",35.9,"109.2","91.2","100.9","95.3","88","424","189","389","94",45.6,"28",13.6,10
"Jeffers, Ryan","680777","205","15.9",33.7,"110.4","89.5","101","94.3","85.7","448","185","415","89",44.3,"17",8.3,5.8
"Scott II, Victor","687363","204","12.5",35.3,"106.6","86","96.8","89.9","81.8","401","154","391","54",27,"9",4.4,2.8
"Heim, Jonah","641680","203","14.2",33.5,"109.6","89","98.3","92.7","88.1","417","170","378","72",35.8,"13",6.4,4.6
"Abreu, Wilyer","677800","202","23.6",30.7,"111.4","91.2","102.7","94.3","89.7","430","196","400","93",46,"25",12.4,8.2
"Keith, Colt","690993","201","12",40.8,"110","90","101","95.3","83.5","450","180","392","92",45.8,"21",10.4,7.1
"Burger, Jake","669394","201","15.6",32.3,"114.7","90.3","103.2","94.8","87.2","442","172","401","97",48.3,"27",13.4,9.4
"Smith, Will","669257","201","19.5",41.3,"109.8","91.5","101.3","94.3","88.1","421","205","395","93",47,"27",13.4,8.9
"Grisham, Trent","663757","200","15.3",36,"109.8","90.3","100.4","95.9","83.9","415","182","387","89",44.7,"28",14,8.9
"Harper, Bryce","547180","198","13.4",42.4,"113.8","91.7","102.8","94.8","87","437","191","393","99",50.3,"24",12.1,7.8
"Rutschman, Adley","668939","198","15.7",33.8,"111","89.9","99.8","93.2","86.8","436","179","397","78",39.4,"17",8.6,6.2
"Langeliers, Shea","669127","198","13.6",31.8,"114.5","90.7","102.2","94.1","87.9","429","166","402","90",45.7,"21",10.6,7.7
"Wells, Austin","669224","198","20.9",30.3,"111.9","91.2","102.2","94.9","88.9","414","187","376","97",49.5,"20",10.1,6.8
"Cruz, Oneil","665833","197","8.7",36,"122.9","96.3","108","100.3","92.9","463","174","409","115",58.4,"43",21.8,11.8
"Allen, Nick","669397","197","11.1",32,"104.4","84.5","94.5","87.2","83.9","382","135",,"41",20.9,"0",0,0
"Lux, Gavin","666158","197","10.8",38.6,"106.4","88.8","97.8","89.6","88.4","397","160","365","75",38.1,"7",3.6,2.3
"Isbel, Kyle","664728","196","11.3",27,"109.5","87.5","99.3","91","89.1","401","131","392","68",34.9,"3",1.5,1.2
"Frazier, Adam","624428","195","14.2",37.9,"102.4","85.2","94.5","88.4","82.4","380","167","358","39",20.1,"2",1,0.8
"Manzardo, Kyle","700932","195","23.3",35.9,"109.6","89.9","99.9","95.1","82.4","424","197","395","80",41,"23",11.8,7.7
"Taylor, Tyrone","621438","193","20.2",40.9,"109.5","86.7","98.3","89","87.5","407","173","402","68",35.4,"8",4.1,2.9
"Chapman, Matt","656305","192","18.3",31.8,"113.5","93.4","103.4","95.6","95.3","420","175","393","95",49.5,"19",9.9,6.1
"Thomas, Alek","677950","192","3.6",26,"109.4","90.5","101","94.4","88.1","426","133","401","77",40.7,"13",6.8,4.6
"Muncy, Max","571970","192","19.3",39.1,"110.5","91.5","102.1","95.5","83.9","433","199","408","102",53.1,"27",14.1,8.6
"Urías, Luis","649966","192","13.2",30.7,"106.8","86.9","97.2","92.1","84.2","419","151","383","60",31.3,"8",4.2,3.1
"Mangum, Jake","663968","191","-0.7",27.2,"108.3","87.3","98.2","92.2","84.9","404","117","392","69",36.7,"6",3.1,2.6
"Merrill, Jackson","701538","191","14",39.8,"110.9","88.4","99.8","93.9","83.8","417","172","394","72",37.9,"23",12,8.3
"Conforto, Michael","624424","191","14",33.5,"112.9","89.9","100.4","93.5","87.1","431","168","407","82",43.2,"18",9.4,5.9
"Hoskins, Rhys","656555","190","22",40,"111.1","90.5","100.1","93.8","85.9","440","194","394","89",46.8,"20",10.5,6.3
"Narváez, Carlos","665966","189","13.4",28,"110.8","91.2","101.7","93.3","90.3","434","152","376","81",42.9,"19",10.1,6.6
"Dingler, Dillon","693307","189","16.5",38.6,"110.7","89.1","101.1","94.1","84.4","410","176","393","85",45.2,"16",8.5,6
"Domínguez, Jasson","691176","188","13.9",31.9,"112.1","90.6","102.2","93.5","91.5","445","166","397","96",51.3,"15",8,4.8
"Seager, Corey","608369","188","11.3",31.9,"112.4","93.3","104.4","97","90.1","430","175","400","103",55.1,"30",16,10.4
"Castro, Willi","650489","187","13.1",36.9,"111.1","87.6","100.4","92","83.8","410","175","386","79",42.9,"13",7,4.4
"O'Hoppe, Logan","681351","186","18.2",33.9,"112.4","91.8","102.7","96.2","86.9","470","188","401","99",53.5,"28",15.1,9.3
"Williamson, Ben","810938","186","3.8",23.1,"110.4","88.5","99.9","88.9","89.1","398","124","398","76",41.5,"6",3.2,2.3
"Dubón, Mauricio","643289","186","11.9",29.6,"110.8","84.6","96.2","87.6","84.7","402","153","386","53",28.8,"3",1.6,1.4
