"id","name","api_pitch_type_group03","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
686217,"Frelick, Sal","SL",9,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.7777777777777778,0.1111111111111111,0,0.3333333333333333,0,0.1111111111111111,0.4444444444444445,0.1111111111111111
670770,"Friedl, TJ","SL",6,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0,0.6666666666666666,0.3333333333333333,0,0.5,0.16666666666666666,0,0.16666666666666663,0.16666666666666666,0
683002,"Henderson, Gunnar","SI",36,0.6944444444444444,0.3055555555555556,0.08333333333333333,0.19444444444444445,0.027777777777777776,0.19444444444444445,0.5,0.3055555555555556,0.19444444444444445,0.3611111111111111,0.1388888888888889,0,0.1388888888888889,0.16666666666666669
641584,"Fraley, Jake","SI",11,0.9090909090909091,0.09090909090909091,0.09090909090909091,0,0,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.09090909090909094,0,0
669224,"Wells, Austin","FC",4,0.5,0.5,0.25,0,0.25,0.5,0,0.5,0.25,0,0.25,0.25,0,0.25
664913,"Brown, Seth","FF",4,0,1,0.5,0.25,0.25,0.5,0.25,0.25,0,0,0,0.5,0.25,0.25
624424,"Conforto, Michael","SL",11,0.5454545454545454,0.4545454545454546,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.09090909090909091,0,0.18181818181818182,0,0.2727272727272727
641584,"Fraley, Jake","CU",5,0.4,0.6000000000000001,0,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0,0.2,0.2,0.2
691718,"Crow-Armstrong, Pete","CU",7,0.2857142857142857,0.7142857142857142,0.42857142857142855,0.2857142857142857,0,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.42857142857142855,0.14285714285714285
807799,"Yoshida, Masataka","CH",1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
453568,"Blackmon, Charlie","FF",32,0.1875,0.8125,0.375,0.3125,0.125,0.25,0.3125,0.4375,0.0625,0.09375,0.03125,0.1875,0.21875,0.40625
665742,"Soto, Juan","CU",8,0.5,0.5,0.125,0.25,0.125,0.625,0.25,0.125,0.375,0.125,0,0.25,0.125,0.125
686823,"Brennan, Will","ST",4,0,1,0.25,0.5,0.25,0.75,0.25,0,0,0,0,0.75,0.25,0
671739,"Harris II, Michael","SV",2,0.5,0.5,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0
664040,"Lowe, Brandon","FC",3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0.3333333333333333,0.3333333333333333
663457,"Nootbaar, Lars","FF",14,0.2857142857142857,0.7142857142857142,0.07142857142857142,0.5,0.14285714285714285,0.42857142857142855,0.5,0.07142857142857142,0.14285714285714285,0.14285714285714285,0,0.2857142857142857,0.35714285714285715,0.07142857142857142
664728,"Isbel, Kyle","SI",12,1,0,0,0,0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.16666666666666666,0,0,0
643565,"Tauchman, Mike","SI",16,0.5,0.5,0.125,0.3125,0.0625,0.25,0.4375,0.3125,0.125,0.3125,0.0625,0.125,0.125,0.25
595909,"Cave, Jake","SL",3,1,0,0,0,0,0.3333333333333333,0.6666666666666666,0,0.3333333333333333,0.6666666666666666,0,0,0,0
664728,"Isbel, Kyle","ST",4,0.25,0.75,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0,0,0.25,0.25,0.25
671739,"Harris II, Michael","CH",4,0.5,0.5,0,0.25,0.25,1,0,0,0.5,0,0,0.5,0,0
680776,"Duran, Jarren","SV",6,0.6666666666666666,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0.6666666666666666,0,0.16666666666666666,0.5,0,0.16666666666666666,0.16666666666666663,0
608369,"Seager, Corey","CU",8,0.625,0.375,0,0.25,0.125,0.625,0.125,0.25,0.375,0.125,0.125,0.25,0,0.125
669701,"Smith, Josh","CU",4,0.5,0.5,0.25,0.25,0,0.75,0.25,0,0.25,0.25,0,0.5,0,0
624424,"Conforto, Michael","CU",1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
