"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Hader, Josh",623352,"HOU","SL","Slider",2.4,7,"302",40.4,"76","0.167","0.278","0.21",55.3,48.7,31.6,"0.146","0.201","0.171",27.8
"Hamilton, Ian",641656,"NYY","SI","Sinker",1,3,"301",47.6,"76","0.233","0.333","0.341",11.6,7.9,11.8,"0.318","0.461","0.408",36.4
"Quintana, Jose",500779,"MIL","CH","Changeup",-1.4,-4,"301",21.9,"76","0.315","0.425","0.338",17.8,11.8,10.5,"0.289","0.439","0.327",34.4
"Vásquez, Randy",681190,"SD","FF","4-Seam Fastball",0.1,0,"337",20,"76","0.279","0.41","0.359",11,9.2,7.2,"0.291","0.549","0.405",44.6
"Bello, Brayan",678394,"BOS","ST","Sweeper",-0.4,-2,"361",21.4,"76","0.206","0.349","0.301",26.5,31.6,18.2,"0.253","0.522","0.365",38.1
"Kershaw, Clayton",477132,"LAD","FF","4-Seam Fastball",-0.9,-3,"339",36,"75","0.277","0.446","0.365",5.4,2.7,4.1,"0.294","0.425","0.36",46.9
"Severino, Luis",622663,"ATH","FC","Cutter",0.6,2,"371",17.5,"75","0.292","0.385","0.343",17.1,2.7,5.3,"0.323","0.491","0.377",33.8
"Bender, Anthony",669622,"MIA","ST","Sweeper",3.4,10,"301",45.1,"75","0.07","0.113","0.124",27.3,28,21.9,"0.141","0.241","0.19",36
"Giolito, Lucas",608337,"BOS","CH","Changeup",-1.2,-4,"291",22.4,"75","0.2","0.5","0.319",22,18.7,14.9,"0.251","0.568","0.363",36.8
"Cano, Yennier",666974,"BAL","SI","Sinker",1.7,5,"306",48.6,"75","0.206","0.254","0.284",22.9,18.7,19.7,"0.198","0.294","0.278",43.1
"Pepiot, Ryan",686752,"TB","SL","Slider",-0.9,-3,"357",18,"75","0.264","0.514","0.355",21.6,8,7.8,"0.289","0.505","0.351",31.8
"Pivetta, Nick",601713,"SD","ST","Sweeper",1.8,6,"345",18.4,"75","0.141","0.239","0.209",38.7,36,24.5,"0.152","0.257","0.196",20
"Yates, Kirby",489446,"LAD","FF","4-Seam Fastball",0.6,2,"327",56.5,"74","0.212","0.485","0.325",36.3,35.1,24.3,"0.184","0.415","0.29",41.5
"Holmes, Grant",656550,"ATL","FC","Cutter",1,3,"297",15.1,"74","0.258","0.409","0.343",16.3,4.1,8.8,"0.304","0.446","0.363",38.1
"Quantrill, Cal",615698,"MIA","FF","4-Seam Fastball",-1.9,-7,"348",22.1,"74","0.348","0.606","0.428",20.5,20.3,12.2,"0.271","0.512","0.366",36.5
"Ashcraft, Graham",668933,"CIN","SL","Slider",1.5,4,"301",42.5,"74","0.169","0.254","0.209",42.1,43.2,27.6,"0.159","0.212","0.175",35
"May, Dustin",669160,"LAD","FF","4-Seam Fastball",1.4,4,"268",16.1,"74","0.111","0.206","0.218",26.2,28.4,18.4,"0.168","0.282","0.267",35.7
"Alexander, Tyler",641302,"CWS","FF","4-Seam Fastball",1.2,3,"283",26.8,"74","0.194","0.284","0.253",21,20.3,14.6,"0.229","0.433","0.319",46.2
"Kochanowicz, Jack",686799,"LAA","FF","4-Seam Fastball",-0.3,-1,"280",18.2,"73","0.226","0.355","0.318",23.9,26,17.8,"0.255","0.466","0.364",55.8
"Anderson, Grant",681982,"MIL","ST","Sweeper",1.4,4,"312",36.9,"73","0.147","0.279","0.244",33.8,23.3,19.1,"0.211","0.34","0.258",28.8
"Williams, Devin",642207,"NYY","FF","4-Seam Fastball",-0.4,-1,"312",45.6,"73","0.237","0.322","0.331",38.3,35.6,28.6,"0.201","0.318","0.313",42.4
"Vodnik, Victor",680767,"COL","FF","4-Seam Fastball",-0.5,-2,"309",56.1,"73","0.242","0.403","0.369",18.9,17.8,15.9,"0.278","0.528","0.395",61.2
"Halvorsen, Seth",678020,"COL","FF","4-Seam Fastball",-0.4,-1,"322",53.3,"73","0.3","0.433","0.386",28.1,20.5,21.1,"0.259","0.368","0.343",52.2
"Green, Chad",643338,"TOR","SL","Slider",-0.7,-2,"325",47.3,"73","0.209","0.448","0.31",25.2,17.8,12.7,"0.261","0.52","0.359",40.7
"Lugo, Seth",607625,"KC","SI","Sinker",1.8,5,"275",15.7,"73","0.164","0.284","0.258",13.8,20.5,21.1,"0.262","0.475","0.344",36.5
"Walker, Taijuan",592836,"PHI","FC","Cutter",0.5,2,"354",30.7,"73","0.203","0.453","0.334",19.9,19.2,21.5,"0.176","0.315","0.262",39.2
"Burke, Brock",656271,"LAA","FF","4-Seam Fastball",1.6,5,"314",44.4,"73","0.21","0.323","0.279",21.1,24.7,15.9,"0.258","0.499","0.36",46.8
"Yamamoto, Yoshinobu",808967,"LAD","CU","Curveball",-0.3,-1,"312",17.3,"72","0.254","0.349","0.33",35.7,26.4,25,"0.238","0.354","0.309",31.8
"Birdsong, Hayden",806185,"SF","SL","Slider",-0.9,-3,"291",24.4,"72","0.323","0.462","0.397",30.4,16.7,19,"0.248","0.419","0.319",38.9
"Skenes, Paul",694973,"PIT","ST","Sweeper",1.8,6,"321",15.4,"72","0.132","0.191","0.184",33.3,31.9,20.7,"0.171","0.229","0.202",17.8
"Strahm, Matt",621381,"PHI","FF","4-Seam Fastball",-1.1,-3,"265",38.4,"72","0.197","0.393","0.293",26,37.5,27,"0.174","0.368","0.279",51.4
"Wacha, Michael",608379,"KC","FC","Cutter",-0.3,-1,"270",14.7,"72","0.317","0.54","0.384",18.8,5.6,12.9,"0.31","0.573","0.406",43.5
"Stewart, Brock",592779,"MIN","FF","4-Seam Fastball",2.5,7,"285",54.6,"71","0.185","0.277","0.236",34.1,36.6,28,"0.182","0.306","0.243",42.5
"Megill, Tylor",656731,"NYM","SL","Slider",-0.9,-3,"297",24.1,"71","0.242","0.29","0.299",45.5,35.2,22.5,"0.202","0.288","0.285",37.8
"Gordon, Colton",676467,"HOU","ST","Sweeper",-1.3,-4,"323",30.8,"71","0.265","0.515","0.335",23.6,29.6,14.5,"0.224","0.403","0.287",33.3
"Kirby, George",669923,"SEA","SL","Slider",0.8,2,"296",27.3,"71","0.284","0.373","0.281",27.8,28.2,19.8,"0.271","0.443","0.31",44
"Peterson, David",656849,"NYM","CH","Changeup",1,3,"284",15.2,"71","0.212","0.273","0.273",22.9,14.1,13.9,"0.266","0.35","0.297",39.3
"Bird, Jake",656234,"COL","ST","Sweeper",0.9,3,"354",39.8,"70","0.25","0.422","0.335",32.9,31.4,23.9,"0.179","0.286","0.241",28.6
"Kremer, Dean",665152,"BAL","CU","Curveball",-0.2,-1,"270",14,"70","0.288","0.485","0.331",20.6,11.4,12.3,"0.296","0.479","0.341",28.3
"Hernández, Daysbel",678226,"ATL","SL","Slider",0.1,0,"310",56.4,"70","0.211","0.263","0.299",34.6,18.6,12.4,"0.214","0.304","0.312",29.5
"Leasure, Jordan",673929,"CWS","SL","Slider",1,3,"300",42.1,"70","0.175","0.302","0.278",36.8,27.1,22.6,"0.192","0.291","0.256",31.8
"Helsley, Ryan",664854,"STL","SL","Slider",3.5,10,"288",47.9,"70","0.092","0.154","0.13",45.6,44.3,27.2,"0.124","0.207","0.163",33.3
"Dollander, Chase",801403,"COL","CU","Curveball",1.4,4,"275",22.2,"70","0.152","0.212","0.189",30.7,28.6,18,"0.189","0.321","0.244",26.1
"Rogers, Taylor",573124,"CIN","SI","Sinker",-1.9,-6,"301",51.4,"70","0.309","0.455","0.404",12,12.9,9.6,"0.322","0.588","0.434",51
"Hancock, Emerson",676106,"SEA","FF","4-Seam Fastball",0.8,3,"332",26.6,"70","0.203","0.391","0.283",24.2,22.9,13.7,"0.267","0.498","0.351",42.9
"Bibee, Tanner",676440,"CLE","FC","Cutter",0,0,"392",19.6,"69","0.266","0.5","0.365",31,13,12.7,"0.215","0.391","0.289",41.8
"Domínguez, Seranthony",622554,"BAL","FF","4-Seam Fastball",-0.8,-3,"321",43.6,"69","0.264","0.472","0.416",24.5,20.3,21.2,"0.244","0.437","0.384",35.9
"Falter, Bailey",663559,"PIT","SL","Slider",-0.7,-2,"275",16.9,"68","0.231","0.415","0.307",24.5,20.6,18.9,"0.272","0.496","0.341",47.1
"Rogers, Taylor",573124,"CIN","ST","Sweeper",0.8,2,"284",48.5,"68","0.177","0.339","0.276",35.3,36.8,23.6,"0.144","0.225","0.197",26.3
"Holmes, Clay",605280,"NYM","CH","Changeup",0.5,1,"278",14.7,"68","0.215","0.262","0.232",31.5,26.5,14.8,"0.23","0.326","0.26",29.8
"Senga, Kodai",673540,"NYM","FC","Cutter",-0.1,0,"286",20.3,"68","0.271","0.424","0.392",16.4,2.9,6.9,"0.314","0.481","0.388",47.4
"Bello, Brayan",678394,"BOS","FF","4-Seam Fastball",0.5,1,"288",17,"68","0.207","0.328","0.289",18.5,14.7,10.1,"0.191","0.339","0.296",36.7
"Scott, Tanner",656945,"LAD","SL","Slider",0.1,0,"298",42.4,"68","0.295","0.41","0.348",36.6,29.4,19,"0.243","0.358","0.303",34.1
"Beeks, Jalen",656222,"AZ","CH","Changeup",3.5,9,"270",40.8,"68","0.063","0.079","0.11",37,29.4,20.6,"0.155","0.213","0.198",18.6
"De Los Santos, Enyel",660853,"ATL","SL","Slider",0.1,0,"284",39.6,"67","0.213","0.311","0.282",39.2,26.9,18.8,"0.22","0.346","0.283",32.6
"Santillan, Tony",663574,"CIN","SL","Slider",-0.9,-3,"290",35.3,"67","0.254","0.39","0.318",39.1,28.4,15.4,"0.237","0.397","0.31",34.1
"Ort, Kaleb",672391,"HOU","FF","4-Seam Fastball",-0.1,0,"280",53.9,"67","0.182","0.364","0.304",26.9,20.9,16.5,"0.191","0.38","0.312",35.7
"Olson, Reese",681857,"DET","CH","Changeup",0.7,2,"300",25.9,"67","0.143","0.286","0.227",46.2,40.3,24.3,"0.179","0.289","0.23",27.8
"Buehler, Walker",621111,"BOS","FF","4-Seam Fastball",-2.8,-11,"371",23.5,"67","0.327","0.673","0.46",13.8,14.9,10.3,"0.294","0.599","0.43",52.2
"Crochet, Garrett",676979,"BOS","SI","Sinker",1.9,6,"295",13.5,"67","0.288","0.305","0.317",22.3,10.4,16.3,"0.333","0.455","0.383",30.8
"Faucher, Calvin",676534,"MIA","FC","Cutter",2.1,6,"268",38.5,"67","0.246","0.311","0.289",17.4,19.4,19.1,"0.309","0.395","0.336",28.6
"Jobe, Jackson",695549,"DET","FF","4-Seam Fastball",-0.7,-2,"273",31.1,"66","0.296","0.519","0.395",14.2,9.1,7.7,"0.295","0.503","0.389",46
"Flexen, Chris",623167,"CHC","FF","4-Seam Fastball",2.5,7,"269",41.5,"66","0.164","0.262","0.223",14.5,10.6,10.1,"0.279","0.523","0.367",42.6
"Ray, Robbie",592662,"SF","CH","Changeup",0.1,0,"294",14,"66","0.246","0.404","0.32",38.6,18.2,17.1,"0.248","0.399","0.335",45.7
"Gray, Sonny",543243,"STL","CU","Curveball",1.6,5,"308",17.9,"65","0.194","0.306","0.237",29.4,27.7,34.6,"0.238","0.432","0.303",38.6
"Mikolas, Miles",571945,"STL","CU","Curveball",-1.5,-4,"275",17.1,"65","0.217","0.4","0.298",22,27.7,16.5,"0.199","0.34","0.26",30.2
