"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Phillips, Tyler","663969","150","8.6",29.3,"113.3","88.5","77.1","90.9","87","416","140","401","55",36.7,"9",6,4.6
"Jobe, Jackson","695549","150","13.1",36,"111.9","89.1","77.7","94.6","85.2","436","163","396","65",43.3,"13",8.7,6
"Houck, Tanner","656557","149","6.8",35.6,"112.2","91","79.8","95","87.8","432","151","396","69",46.3,"12",8.1,5.9
"Lopez, Jacob","682052","149","24.2",40.3,"109.7","87.4","76.1","92.8","75.7","432","200","408","49",32.9,"9",6,3.6
"Nola, Aaron","605400","149","11.5",36.2,"108.9","89.7","79","94.6","85.8","421","166","390","65",43.6,"14",9.4,6.4
"Greene, Hunter","668881","148","23.1",38.5,"109.3","90.2","79.9","92.9","88.7","457","197","390","63",42.6,"15",10.1,6.3
"Ferrer, Jose A.","678606","147","3",29.3,"112.6","89.2","78","89.8","89.3","398","118","388","59",40.1,"5",3.4,2.5
"Leahy, Kyle","681517","147","11.1",37.4,"115.2","88.7","76.7","93.7","85.8","419","158","398","63",42.9,"17",11.6,8.4
"Gilbert, Logan","669302","144","14.3",31.9,"112.7","90.6","80.9","95","87.8","432","169","405","61",42.4,"15",10.4,6
"Lauer, Eric","641778","144","20.2",36.8,"111.9","91.2","82.2","93.7","88.7","399","193","380","64",44.4,"11",7.6,5
"Vargas, Carlos","672841","143","6",23.8,"117.7","87.9","77.1","90.2","86.9","444","141","403","46",32.2,"7",4.9,3.6
"King, Michael","650633","142","17",32.4,"111.7","88","75.7","92.7","86.2","413","167","379","56",39.4,"16",11.3,7.1
"Suter, Brent","608718","142","13.5",31,"110.6","84.7","71.8","89.9","81.2","420","160","392","46",32.4,"10",7,5.4
"Holton, Tyler","663947","141","8.8",33.3,"110","87.1","74.5","91.3","85.3","422","152","390","53",37.6,"12",8.5,6.3
"Blewett, Scott","656240","140","9.7",29.3,"113.7","92.2","82.8","95.8","89.8","427","161","401","70",50,"16",11.4,8.2
"Ross, Joe","605452","139","10.3",37.4,"111","89","76.8","95.2","85.4","437","159","409","60",43.2,"16",11.5,8.6
"Festa, David","701581","137","18.4",33.6,"111.3","90.2","79.4","95.1","86.6","433","179","410","56",40.9,"15",10.9,7.2
"Bivens, Spencer","702352","137","8.6",27.7,"110.7","85.3","73.3","92.6","81.3","413","145","384","44",32.1,"8",5.8,4.2
"Lively, Ben","594902","134","20.4",35.1,"118","92.1","83","94.7","91.5","397","200","390","60",44.8,"14",10.4,7.9
"Hill, Tim","657612","134","-3",19.4,"114.1","89.9","78.1","94","88.4","424","106","393","61",45.5,"11",8.2,6.5
"Milner, Hoby","571948","133","5.6",30.1,"110","87.5","77.2","92.4","84.5","399","136",,"47",35.3,"11",8.3,5.9
"Webb, Jacob","657097","133","21.1",33.1,"114.8","86.2","74.4","90.1","82.6","431","180","391","45",33.8,"5",3.8,2.7
"Allard, Kolby","663465","132","18.9",35.6,"110","88","77.2","92.6","86","431","172","400","48",36.4,"9",6.8,5.7
"Rogers, Tyler","643511","132","-4.4",26.5,"109.4","85.3","73.3","91.2","82.2","399","115","379","42",31.8,"3",2.3,1.8
"Bird, Jake","656234","132","7.1",34.8,"110.7","88.1","75.9","90.7","85.9","414","143","403","54",40.9,"8",6.1,3.7
"Blanco, Ronel","669854","131","17.7",25.2,"110.8","85.9","74.4","91.6","78","418","172","392","40",30.5,"11",8.4,5.5
"Dreyer, Jack","676263","130","18.5",29.2,"109.6","90.4","81.9","93.5","88.9","401","160","401","49",37.7,"3",2.3,1.5
"Rutledge, Jackson","671131","130","16.7",29.2,"110.4","90.3","79.6","93.6","88.6","434","168","396","57",43.8,"15",11.5,8
"Bazardo, Eduard","660825","130","17.4",35.4,"114.2","87.8","77.1","92.2","84.4","411","182","384","48",36.9,"10",7.7,5.1
"King, John","667463","130","-1.5",26.9,"117.9","89.1","77.2","92.3","87.2","443","115","406","52",40,"9",6.9,5.6
"Clase, Emmanuel","661403","129","12",33.3,"111.4","88.2","77.3","93.4","83.5","392","157","392","50",38.8,"6",4.7,3.2
"Smith-Shawver, AJ","700363","128","15.4",41.4,"116.2","91.4","80.4","94.8","86.8","414","188","388","65",50.8,"16",12.5,8.4
"Junis, Jakob","596001","127","12.3",35.4,"109.8","87.9","76.6","93.2","82","423","164","397","48",37.8,"7",5.5,4
"Anderson, Grant","681982","127","11.3",26.8,"115.4","88.9","78","91","87.4","399","161","386","48",37.8,"7",5.5,3.6
"Peralta, Wandy","593974","127","2.3",31.5,"116.2","88.5","76.9","93.9","85.1","379","128","373","47",37,"8",6.3,4.2
"Latz, Jacob","656641","127","14.2",32.3,"109.6","89.9","79.7","92.6","88.3","431","162","395","55",43.3,"9",7.1,4.6
"Santillan, Tony","663574","126","20.2",36.5,"113.7","91.4","81","93.3","92.2","437","185","394","55",43.7,"8",6.3,4.4
"Adam, Jason","592094","126","13.5",25.4,"110.3","89.4","79.3","91.8","87.6","387","157","386","49",38.9,"9",7.1,4.5
"Kinley, Tyler","641755","126","16.4",35.7,"111.9","86.5","74.4","90.4","82.7","450","177","412","38",30.2,"7",5.6,3.6
"Lynch IV, Daniel","663738","125","13.5",25.6,"116","88.7","77.2","94.8","86.4","426","156","416","53",42.4,"10",8,5.6
"Weissert, Greg","669711","124","12.3",37.9,"112.4","89.7","79.8","93.6","87.3","439","162","395","52",41.9,"7",5.6,4
"Hurter, Brant","676428","123","10.9",31.7,"108.7","88","77.1","91.2","86.6","405","142","381","45",36.6,"4",3.3,2
"Topa, Justin","623437","123","8.5",39,"113.1","90.2","79","93.8","89.9","394","156","394","59",48,"6",4.9,3.6
"Sands, Cole","663485","122","11",27,"113.2","89.1","77.5","94.4","86.1","394","158","381","53",43.4,"11",9,6.8
"Estévez, Carlos","608032","121","25.6",33.1,"110.3","89.8","79.6","93.1","87.4","412","186","391","46",38,"13",10.7,7.5
"Shugart, Chase","663767","121","18.9",40.5,"112.7","87.6","75.8","93","82","411","192","389","46",38,"11",9.1,6.9
"Burrows, Mike","681347","121","15.8",34.7,"113.1","89.6","77.7","93","87.5","418","168","389","55",45.5,"15",12.4,8.2
"Brazobán, Huascar","623211","120","12.5",30,"111.5","88.2","77.2","92.9","85.1","431","159","396","46",38.3,"12",10,6.2
